,Institute_id,Name,No. of MaleStudents,No. of Female Students,Total Students,Within State (Including male & female),Outside State(Including male & female),Outside Country (Including male & female),Economically Backward (Including male & female),Socially Challenged (SC+ST+OBC Including male & female),No. of students receiving full tuition fee reimbursement from the State and Central Government,No. of students receiving full tuition fee reimbursement from Institution Funds,No. of students receiving full tuition fee reimbursement from the Private Bodies,No. of students who are not receiving full tuition fee reimbursement
81,IR-E-U-0080,Kumaraguru College of Technology,3665,1569,5234,5179,55,0,1695,3227,335,54,4,4529
82,IR-E-U-0175,Sri Krishna College of Engineering and Technology,3138,1476,4614,4457,137,20,1614,2863,661,301,130,3385
83,IR-E-C-37013,Chandigarh University,7578,5288,12866,1481,11124,261,2032,2710,2425,2300,17,0
84,IR-E-C-18254,College of Engineering Trivandrum,1898,767,2665,2593,72,0,429,1499,1046,77,65,740
85,IR-E-C-19754,Guru Gobind Singh Indraprastha University,647,79,726,511,169,46,52,237,19,2,0,268
86,IR-E-U-0395,Lovely Professional University,14215,1586,15801,858,14435,508,5085,5052,176,2381,0,7580
87,IR-E-C-43264,University College of Engineering,821,538,1359,1196,24,139,76,479,535,0,0,20
88,IR-E-C-6202,Graphic Era University,2366,852,3218,1240,1956,22,4,330,36,64,2,232
89,IR-E-U-0391,Coimbatore Institute of Technology,1999,1024,3023,3001,22,0,97,2816,1131,0,21,1761
90,IR-E-C-41593,Siddaganga Institute of Technology,2285,1158,3443,2716,628,99,167,817,270,1,0,713
91,IR-E-U-0189,National Institute of Technology Patna,1784,271,2055,1080,970,5,857,1178,1016,18,6,995
92,IR-E-U-0099,C.V. Raman Global University,2803,902,3705,1248,2440,17,2243,1052,368,162,428,2337
93,IR-E-U-0382,PES University,3679,1392,5071,4001,1016,54,49,300,274,19,0,56
94,IR-E-U-0105,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,5157,906,6063,794,5143,126,3335,2523,7,1802,0,4049
95,IR-E-C-6581,Jaypee Institute of Information Technology,3265,987,4252,2357,1891,4,411,291,0,0,0,702
96,IR-E-C-19534,University College of Engineering,776,603,1379,1342,35,2,423,599,700,0,0,322
97,IR-E-U-0043,National Institute of Technology Hamirpur,1774,310,2084,1042,1020,22,204,1058,1122,0,0,140
98,IR-E-U-0445,Bharati Vidyapeeth Deemed University College of Engineering,2519,509,3028,370,2655,3,1632,463,497,561,40,997
99,IR-E-U-0733,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,93,12,105,12,93,0,9,53,24,6,0,32
