,Institute_id,Name,No. of MaleStudents,No. of Female Students,Total Students,Within State (Including male & female),Outside State(Including male & female),Outside Country (Including male & female),Economically Backward (Including male & female),Socially Challenged (SC+ST+OBC Including male & female),No. of students receiving full tuition fee reimbursement from the State and Central Government,No. of students receiving full tuition fee reimbursement from Institution Funds,No. of students receiving full tuition fee reimbursement from the Private Bodies,No. of students who are not receiving full tuition fee reimbursement
0,IR-E-C-9462,Indian Institute of Technology Madras,1774,260,2034,335,1682,17,142,1090,52,939,110,131
1,IR-E-U-0355,Indian Institute of Technology Delhi,2680,287,2967,130,2836,1,351,1422,655,0,55,1063
2,IR-E-C-11015,Indian Institute of Technology Bombay,2775,250,3025,741,2284,0,1274,1601,749,0,57,2069
3,IR-E-U-0577,Indian Institute of Technology Kanpur,2257,172,2429,250,2173,6,223,1125,0,1146,0,202
4,IR-E-C-1331,Indian Institute of Technology Kharagpur,3350,254,3604,828,2774,2,423,1771,6,1702,0,486
5,IR-E-U-0186,Indian Institute of Technology Roorkee,3138,251,3389,72,3317,0,467,1661,986,181,0,961
6,IR-E-U-0564,Indian Institute of Technology Guwahati,2421,209,2630,109,2520,1,181,1328,0,829,0,680
7,IR-E-C-36969,Indian Institute of Technology Hyderabad,890,153,1043,413,630,0,71,528,0,372,0,227
8,IR-E-U-0149,National Institute of Technology Tiruchirappalli,6352,4453,10805,10191,121,493,473,9023,4036,0,436,5024
9,IR-E-U-0584,Indian Institute of Technology Indore,2668,692,3360,1428,1494,438,218,1604,0,1064,34,724
10,IR-E-C-16560,Indian Institute of Technology (BHU) Varanasi,2843,190,3033,762,2271,0,559,1562,853,1189,40,39
11,IR-E-C-42242,Indian Institute of Technology (Indian School of Mines),629,246,875,802,73,0,47,232,232,36,11,0
12,IR-E-C-1269,National Institute of Technology Karnataka,682,56,738,119,619,0,51,372,30,320,0,73
13,IR-E-U-0487,Anna University,3627,360,3987,3022,926,39,917,1403,57,288,0,1975
14,IR-E-U-0747,Vellore Institute of Technology,2972,197,3169,306,2863,0,127,1557,19,1184,0,481
15,IR-E-C-19569,National Institute of Technology Rourkela,2230,474,2704,1221,1387,96,284,1315,613,0,0,986
16,IR-E-I-1075,Jadavpur University,724,67,791,32,759,0,102,407,45,208,0,256
17,IR-E-C-33584,Institute of Chemical Technology,17554,3382,20936,2244,17912,780,1257,3941,0,218,0,4980
18,IR-E-C-41351,National Institute of Technology Warangal,1459,152,1611,926,679,6,643,706,590,0,27,732
19,IR-E-U-0205,Amrita School of Engineering,495,41,536,10,526,0,12,271,177,106,0,0
20,IR-E-U-0476,Indian Institute of Engineering Science and Technology,2600,615,3215,1382,1765,68,383,1403,1105,0,0,681
21,IR-E-U-0467,Indian Institute of Technology Bhubaneswar,747,36,783,127,656,0,119,401,0,290,1,229
22,IR-E-U-0522,National Institute of Technology Calicut,311,252,563,262,294,7,0,34,0,2,0,32
23,IR-E-C-18010,Indian Institute of Technology Gandhinagar,580,60,640,88,552,0,118,325,55,159,28,201
24,IR-E-C-36926,Indian Institute of Technology Ropar,7783,1087,8870,1264,7537,69,594,148,1,0,1,740
25,IR-E-C-16490,Indian Institute of Technology Patna,2591,945,3536,1626,1438,472,201,1563,1633,0,0,131
